CÓD;NOME FANTASIA;LATITUDE;LONGITUDE;TEMPO MÉDIO DE VISITA;FREQUÊNCIA;SEG (Dias do Vendedor);TER (Dias do Vendedor);QUA (Dias do Vendedor);QUI (Dias do Vendedor);SEX (Dias do Vendedor);SAB (Dias do Vendedor)
8971162;SUPER DO POVO - CONJUNTO CEARA;-3.7694439;-38...6045471;03:05:42;2;;;;;;
10756;MATEUS - HENRIQUE JORGE;-3.75714249;-38.59061584;03:25:15;6;;;;;;
8971160;SUPER DO POVO - HENRIQUE JORGE;-3.7580958;-38.5843396;01:27:45;2;;;;;;
4293;CENTERBOX - CAUCAIA;-3.7347353;-38.6595839;01:22:32;2;;;;;;
8971166;SUPER DO POVO - JUREMA;-3.7738473;-38.6282389;01:10:52;2;;;;;;
11622;MATEUS - CAUCAIA;-3.76132708;-38.61643438;02:23:02;6;;;;;;
465;CENTERBOX - CEL CARVALHO;-3.7135362;-38.5885703;00:55:24;2;;;;;;
989;COMETA (CASTELO BRANCO - 12);-3.7049139;-38.5780082;01:47:35;3;;;;;;
4458;CENTERBOX - BARRA;-3.7100856;-38.5897058;01:03:01;2;;;;;;
4202;CENTERBOX - JD IRACEMA;-3.71767679;-38.57899347;01:17:35;1;;;;;;
9586;CENTERBOX - ATACAREJO;-3.7807157;-38.6223482;01:29:21;2;;;;;;
186;SUPER LAGOA - MOZART LUCENA;-3.7184334;-38.5959135;00:37:33;1;;;;;;
950;COMETA (VILA VELHA - 08);-3.7233183;-38.5963513;02:14:47;3;;;;;;
11825;LAG - BARRA DO CEARA;-3.70198005;-38.58381362;00:48:43;1;;;;;;
8900018;FRANGOLANDIA - COSTA BARROS;-3.730295;-38.512375;01:45:56;2;;;;;;
4197;PAO DE ACUCAR - SANTOS DUMONT (1220);-3.7306636;-38.5131575;01:20:47;1;;;;;;
4393;COMETA (PE ANTONIO TOMAS - 26);-3.7411919;-38.4958533;01:43:40;3;;;;;;
3944;PAO DE ACUCAR - JULIO VENTURA (1252);-3.7399659;-38.5075747;01:25:35;1;;;;;;
224;CENTERBOX - SANTOS DUMONT;-3.7440842;-38.4749343;01:35:32;2;;;;;;
942;COMETA (ILDEFONSO ALBANO- 01);-3.7407932;-38.516113;02:28:54;4;;;;;;
8900009;FRANGOLANDIA - RUI BARBOSA;-3.746295;-38.5125923;01:39:03;2;;;;;;
6971169;SUPER DO POVO - MINI MARKET;-3.7426267;-38.5125024;01:22:15;1;;;;;;
4522;COMETA (ENGENHEIRO SANTANA JR - 24);-3.7354447;-38.4816158;01:41:12;3;;;;;;
8900007;FRANGOLANDIA - SANTOS DUMONT;-3.7429041;-38.4794315;01:36:54;2;;;;;;
3616;PINHEIRO - PRAIA DE IRACEMA;-3.7237615;-38.513129;01:32:42;1;;;;;;
10722;PINHEIRO - PORTO DAS DUNAS;-3.8498382830873665;-38.396320939064026;00:51:24;1;;;;;;
9347;COMETA (EUSEBIO - 36);-3.8795207;-38.4613795;02:25:44;5;;;;;;
11898;CENTERBOX - VALPARAISO;-3.8489518;-38.51200331;01:38:57;2;;;;;;
11899;CENTERBOX - LAGOA REDONDA;-3.82635425;-38.47426069;01:24:52;1;;;;;;
10947;COMETA (WASHINGTON SOARES - 38);-3.8194224;-38.4817816;01:44:02;3;;;;;;
268;PINHEIRO - WASHINGTON SOARES;-3.8370287;-38.4822819;01:05:27;1;;;;;;
218;LAG - MESSEJANA;-3.832713;-38.4916446;00:58:09;1;;;;;;
11946;CENTERBOX - PARQUE SANTA MARIA;-3.8573702;-38.5025713;01:54:56;2;;;;;;
11895;CENTERBOX - PEDRAS;-3.89368547;-38.51477265;01:46:45;2;;;;;;
8900008;FRANGOLANDIA - EUSEBIO;-3.8704983;-38.4675121;01:29:37;3;;;;;;
11896;CENTERBOX - PARQUE DOM PEDRO;-3.90694584;-38.50743777;01:49:45;1;;;;;;
222253;FRANGOLANDIA - CAUCAIA;-3.8704983;-38.4675121;01:26:03;2;;;;;;
